Code UIC,Libellé Gare,Fret,Voyageurs,Code Ligne,Rang,PK,X (Lambert 93),Y (Lambert 93),X (WGS84),Y (WGS84),Commune,Département,coordonnees_geographiques
87471185.0,Messac-Guipry,N,O,463000,1.0,398+272,339653.212698,6757878.01689,-202440.382179,6077344.81839,Messac,Ille-et-Vilaine,"47.8223131529, -1.81855289434"
87471029.0,Vern,N,O,466000,1.0,50+491,357685.415106,6781809.97609,-177731.689903,6114673.30638,Vern-sur-Seiche,Ille-et-Vilaine,"48.0469746653, -1.59659093513"
87476317.0,Quimperlé,O,O,470000,1.0,639+694,210637.786887,6772419.14149,-395516.920856,6085140.14884,Quimperlé,Finistère,"47.8693099943, -3.55298895132"
87474031.0,Hanvec,N,N,470000,1.0,740+360,171994.575187,6828441.66923,-460348.232204,6163846.65533,Hanvec,Finistère,"48.3414353627, -4.13537853007"
87476671.0,Questembert,O,O,470000,1.0,540+326,291464.543625,6745525.10365,-272690.557184,6054309.07004,Questembert,Morbihan,"47.6831853035, -2.44962095353"
87476648.0,Ste-Anne,N,O,470000,1.0,581+996,253190.435395,6747773.9396,-329570.366408,6053535.24772,Pluneret,Morbihan,"47.6785052299, -2.96058097337"
87471243.0,St-Méen,O,N,472000,1.0,68+200,315077.283386,6800114.00667,-243043.38714,6138128.2568,St-Méen-le-Grand,Ille-et-Vilaine,"48.1876390862, -2.18329589373"
87476200.0,Auray,O,O,473000,1.0,584+946,250286.167892,6748188.22577,-333913.441709,6053823.00166,Auray,Morbihan,"47.6802456134, -2.9995954826"
87476408.0,Belz-Ploemel,N,O,473000,1.0,591+597,244616.241576,6745536.31378,-341998.6419,6049244.73262,Ploemel,Morbihan,"47.6525485978, -3.07222607167"
87473330.0,Quintin,O,O,475000,1.0,492+810,264298.903281,6827046.46542,-321902.665552,6173216.53899,St-Brandan,Côte-d'Armor,"48.3973523673, -2.89170084464"
87473389.0,Loudéac,O,O,475000,1.0,523+646,272034.044382,6802276.46368,-307584.31306,6136890.58828,Loudéac,Côte-d'Armor,"48.180226144, -2.76307689577"
87473520.0,Pont-Melvez,N,O,485000,1.0,523+525,233973.211136,6837507.52293,-368620.354557,6185426.00414,Pont-Melvez,Côte-d'Armor,"48.4701231316, -3.31137298535"
87473546.0,Callac,N,O,485000,1.0,537+640,225505.473455,6831132.95019,-380551.07707,6174805.29189,Callac,Côte-d'Armor,"48.4068275395, -3.41854848919"
87473504.0,Carhaix,O,O,485000,1.0,557+991,213580.389665,6817576.25189,-396733.417839,6152971.74177,Carhaix-Plouguer,Finistère,"48.2764597406, -3.56391692966"
87322347.0,Traou-Nez,N,O,486000,1.0,533+580,249361.009788,6867342.29091,-349003.886908,6232303.64475,Plourivo,Côte-d'Armor,"48.7485550462, -3.13515525827"
87491290.0,Loulay,N,O,500000,1.0,450+644,429297.302864,6555301.317,-55846.8144612,5787313.44392,Loulay,Charente-Maritime,"46.0434412373, -0.501680469999"
87491357.0,St-Jean-d'Angély,O,O,500000,1.0,463+049,428167.789934,6543942.0961,-56744.5837518,5770867.72154,St-Jean-d'Angély,Charente-Maritime,"45.9408017047, -0.509745268752"
87491001.0,Saintes,O,O,500000,1.0,488+553,418839.68153,6522913.07875,-68749.5688278,5740032.13115,Saintes,Charente-Maritime,"45.7478403558, -0.617587884553"
87491142.0,Jonzac,O,O,500000,2.0,534+950,430982.256935,6488003.40174,-49202.1300331,5690850.23103,Jonzac,Charente-Maritime,"45.4386871737, -0.441990254204"
87487140.0,Airvault-Gare,O,N,500000,1.0,349+638,460203.764577,6638883.32739,-16183.4109544,5910645.20926,Airvault,Deux-Sèvres,"46.807104203, -0.145378054098"
87487173.0,Parthenay,O,N,500000,1.0,370+238,452308.648318,6621406.2087,-26652.4723229,5884643.68389,Parthenay,Deux-Sèvres,"46.6469941565, -0.239423232472"
87485714.0,Mazières-Verruyes,O,N,500000,1.0,385+400,446547.270796,6608979.73788,-34273.2318872,5866185.90055,Verruyes,Deux-Sèvres,"46.5330478826, -0.307881680396"
87485706.0,Champdeniers-St-Christophe,N,N,500000,1.0,395+864,441543.349065,6601664.32464,-41081.297408,5855234.95393,St-Christophe-sur-Roc,Deux-Sèvres,"46.4653306739, -0.36903957353"
87485359.0,Prissé-la-Charrière,N,O,500000,1.0,437+617,430466.011484,6567402.55323,-54936.5447138,5804864.71819,Prissé-la-Charrière,Deux-Sèvres,"46.1527706799, -0.493503377731"
87394437.0,Illiers-Combray,O,O,500000,1.0,112+148,569874.400417,6801880.94757,138591.846362,6157619.47797,Illiers-Combray,Eure-et-Loir,"48.3042392383, 1.24499173842"
87394403.0,La Taye,O,O,500000,1.0,96+891,579651.979466,6813196.6645,152917.436151,6174986.09405,St-Georges-sur-Eure,Eure-et-Loir,"48.4079057147, 1.37368070102"
87491282.0,Ste-Eulalie-Carbon-Blanc,N,O,500000,2.0,602+692,424289.146048,6428191.27746,-54955.9537606,5605478.92904,Ste-Eulalie,Gironde,"44.8980062828, -0.493677732169"
87487603.0,Saumur-Rive-Droite,O,O,500000,1.0,285+631,467840.693229,6689898.43783,-7939.50190058,5986052.82718,Saumur,Maine-et-Loire,"47.2687564345, -0.071321759051"
87396499.0,Bazouges,N,N,511000,1.0,40+943,462462.484414,6737115.20601,-18639.3995129,6055691.00572,Bazouges-sur-le-Loir,Sarthe,"47.6915421995, -0.167440574691"
87571851.0,St-Genouph,N,O,515000,1.0,244+879,518691.5957,6699490.92402,66465.5804623,6002830.06046,St-Genouph,Indre-et-Loire,"47.3709251339, 0.597070467977"
87571794.0,Port-Boulet,O,O,515000,1.0,281+700,484909.276941,6687024.93182,17326.936591,5982756.62846,Chouzé-sur-Loire,Indre-et-Loire,"47.2486602754, 0.155650519668"
87481135.0,Ste-Luce,N,N,515000,1.0,423+637,362231.587131,6692712.68514,-163423.017883,5982761.55623,Ste-Luce-sur-Loire,Loire-Atlantique,"47.2486903246, -1.46805394741"
87481812.0,St-Étienne-de-Montluc,O,O,515000,1.0,453+500,338413.336174,6697008.90231,-198796.63901,5987035.0711,St-Étienne-de-Montluc,Loire-Atlantique,"47.2747434728, -1.78582059254"
87481820.0,Cordemais,O,O,515000,1.0,459+111,334028.823482,6700330.91359,-205540.627169,5991539.11006,Cordemais,Loire-Atlantique,"47.3021881165, -1.84640286893"
87481838.0,Savenay,N,O,515000,1.0,469+477,326525.930556,6707053.00161,-217192.951141,6000771.25956,Savenay,Loire-Atlantique,"47.3583982415, -1.95107747612"
87321745.0,Penhoët,N,O,515000,1.0,493+027,307219.696439,6700734.53072,-244990.321805,5989615.74335,St-Nazaire,Loire-Atlantique,"47.2904701301, -2.20078550539"
87487892.0,St-Mathurin,N,O,515000,1.0,323+835,449867.994645,6706575.2655,-35409.134759,6009620.09692,St-Mathurin-sur-Loire,Maine-et-Loire,"47.4122184179, -0.31808566951"
87487843.0,La Bohalle,N,O,515000,1.0,330+549,443743.086831,6709306.77182,-44616.3005749,6013276.28099,La Bohalle,Maine-et-Loire,"47.4344399269, -0.400795047271"
87484311.0,La Pointe-Bouchemaine,O,N,515000,1.0,350+327,427330.295556,6708107.87963,-68749.3401952,6010422.22353,Bouchemaine,Maine-et-Loire,"47.417094376, -0.617585830701"
87484337.0,La Possonnière,N,O,515000,1.0,358+445,421278.127076,6703266.4727,-77340.5918191,6002848.41729,La Possonnière,Maine-et-Loire,"47.3710368136, -0.694762357134"
87590349.0,Babinière,N,O,519000,1.0,435+050,356491.334805,6694171.97438,-171980.888926,5984429.21683,La Chapelle-sur-Erdre,Loire-Atlantique,"47.2588586119, -1.54493061098"
87481564.0,La Chapelle-sur-Erdre,O,N,519000,1.0,439+349,356463.220435,6698277.89489,-172370.167924,5990481.70428,La Chapelle-sur-Erdre,Loire-Atlantique,"47.2957462621, -1.54842756372"
87487470.0,Nueil-Les Aubiers,N,N,523000,1.0,73+705,426791.888147,6655182.34954,-65989.3306294,5932431.40313,Nueil-les-Aubiers,Deux-Sèvres,"46.9408915688, -0.592792242937"
87487249.0,Bressuire,N,O,523000,1.0,89+804,433614.399176,6643455.75286,-55255.5217203,5915699.47025,Bressuire,Deux-Sèvres,"46.8381717507, -0.496368796937"
87485581.0,Benet,N,N,523000,1.0,152+507,424743.066061,6592257.88347,-64808.4971476,5840495.71251,Benet,Vendée,"46.3740546877, -0.58218463528"
87487173.0,Parthenay,O,N,524000,1.0,38+839,452308.648318,6621406.2087,-26652.4723229,5884643.68389,Parthenay,Deux-Sèvres,"46.6469941565, -0.239423232472"
87487413.0,Clessé,N,N,524000,1.0,56+231,438602.870089,6629398.35871,-47086.3373323,5895465.27112,Clessé,Deux-Sèvres,"46.7136881695, -0.422983764992"
87487249.0,Bressuire,N,O,524000,1.0,71+678,433614.399176,6643455.75286,-55255.5217203,5915699.47025,Bressuire,Deux-Sèvres,"46.8381717507, -0.496368796937"
87487231.0,Noirterre,N,O,525000,1.0,132+099,441558.435582,6646622.6421,-43861.8157466,5920844.43148,Bressuire,Deux-Sèvres,"46.8697783763, -0.394017394738"
87571703.0,La Roche-Clermault,N,N,525000,1.0,195+022,487441.935599,6674799.83817,21691.11297,5964871.59702,La Roche-Clermault,Indre-et-Loire,"47.1394863991, 0.194854583104"
87571885.0,Joué-lès-Tours,O,O,525000,1.0,245+149,523820.43039,6697508.15981,74114.3695711,6000125.54448,Joué-lès-Tours,Indre-et-Loire,"47.3544687381, 0.665780709585"
87486449.0,Les Sables-d'Olonne,N,O,525000,1.0,0+082,333523.013189,6611119.5929,-198330.516519,5860869.0296,Les Sables-d'Olonne,Vendée,"46.5001805585, -1.78163334297"
87486316.0,Fougeré,N,O,525000,1.0,53+233,376644.532422,6626999.00133,-137060.895145,5887576.94323,Fougeré,Vendée,"46.6650801219, -1.23123896964"
87486324.0,Bournezeau,N,O,525000,1.0,57+649,380659.159927,6625273.46087,-131091.063556,5885372.56011,Bournezeau,Vendée,"46.6514888449, -1.17761106004"
